City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
143,Ribeira Grande,38.5167,-28.7,66.6,scattered clouds,68,40,17.27,PT
144,Kavaratti,10.5669,72.642,82.47,clear sky,63,2,3.58,IN
145,Shirvan,39.9509,48.8994,54.25,few clouds,83,22,6.4,AZ
146,Moctezuma,29.8,-109.6667,76.66,clear sky,21,0,0.67,MX
147,Dunedin,-45.8742,170.5036,56.8,overcast clouds,66,100,1.99,NZ
148,Chokurdakh,70.6333,147.9167,7.54,overcast clouds,95,100,9.73,RU
149,Kamenka,51.3223,42.7678,40.93,overcast clouds,94,98,13.94,RU
150,Egvekinot,66.3167,-179.1667,7.99,overcast clouds,73,100,11.72,RU
151,Great Yarmouth,52.6083,1.7305,62.94,overcast clouds,85,100,8.52,GB
152,Bahia Blanca,-38.7196,-62.2724,67.08,overcast clouds,41,98,14.12,AR
153,Pevek,69.7008,170.3133,9.01,light snow,95,100,8.37,RU
154,Ust-Omchug,61.15,149.6333,12.07,light snow,95,100,9.89,RU
155,Ust-Kuyga,70.0167,135.6,-15.12,overcast clouds,100,98,5.88,RU
156,Kibala,9.1104,18.3463,75.15,clear sky,78,0,2.3,TD
157,Avarua,-21.2078,-159.775,77.05,broken clouds,73,75,17.27,CK
158,Anadyr,64.75,177.4833,5.5,clear sky,78,0,13.42,RU
159,Laguna,38.421,-121.4238,74.08,broken clouds,38,75,3.0,US
160,Port-Cartier,50.0334,-66.8654,47.88,overcast clouds,55,98,13.04,CA
161,Olafsvik,64.8945,-23.7142,43.02,overcast clouds,92,100,12.48,IS
162,Georgetown,5.4112,100.3354,79.23,scattered clouds,94,40,3.44,MY
163,Benxi,41.2886,123.765,34.12,broken clouds,54,60,3.09,CN
164,Salinopolis,-0.6136,-47.3561,82.81,broken clouds,75,75,15.37,BR
165,Namatanai,-3.6667,152.4333,80.28,broken clouds,79,66,5.79,PG
166,Ryotsu,38.0833,138.4333,53.58,broken clouds,67,52,6.49,JP
167,Saint-Pierre,-21.3393,55.4781,71.91,clear sky,60,0,4.61,RE
168,East London,-33.0153,27.9116,70.97,broken clouds,81,55,14.74,ZA
169,Pocerski Pricinovic,44.7222,19.7072,54.82,clear sky,66,10,3.62,RS
170,Aksu,41.1231,80.2644,49.64,scattered clouds,34,44,3.67,CN
171,Torbay,47.6666,-52.7314,51.58,few clouds,68,20,23.02,CA
172,Taseyevo,57.2169,94.8978,29.03,overcast clouds,83,100,8.41,RU
173,Guerrero Negro,27.9769,-114.0611,75.69,clear sky,45,0,14.14,MX
174,Khani,41.9563,42.9566,38.77,overcast clouds,83,92,3.8,GE
175,Khatanga,71.9667,102.5,7.23,overcast clouds,92,100,5.84,RU
176,Itarema,-2.9248,-39.9167,81.05,scattered clouds,73,28,19.64,BR
177,Sharjah,25.3573,55.4033,84.18,clear sky,73,4,3.44,AE
178,Rawson,-43.3002,-65.1023,58.14,overcast clouds,24,96,14.16,AR
179,Cherskiy,68.75,161.3,1.72,overcast clouds,97,100,5.32,RU
180,Moose Factory,51.2585,-80.6094,57.2,few clouds,54,20,13.8,CA
181,Constitucion,-35.3333,-72.4167,60.84,scattered clouds,81,50,12.71,CL
182,Hualmay,-11.0964,-77.6139,65.91,overcast clouds,72,100,9.08,PE
183,Darhan,49.4867,105.9228,31.17,overcast clouds,95,100,6.11,MN
184,Gushikawa,26.3544,127.8686,74.43,overcast clouds,88,100,19.75,JP
185,Castro,-24.7911,-50.0119,64.47,light rain,95,68,6.96,BR
186,Erenhot,43.6475,111.9767,47.03,overcast clouds,76,90,10.92,CN
187,Makakilo City,21.3469,-158.0858,81.68,clear sky,69,3,13.91,US
188,Arraial Do Cabo,-22.9661,-42.0278,85.96,few clouds,74,20,16.11,BR
189,New Norfolk,-42.7826,147.0587,44.71,clear sky,75,10,2.44,AU
190,Krasnovishersk,60.4078,57.082,32.31,overcast clouds,95,100,7.92,RU
191,Banda Aceh,5.5577,95.3222,78.19,overcast clouds,85,100,9.06,ID
192,Sorong,-0.8833,131.25,78.4,overcast clouds,89,93,8.01,ID
193,Huron,41.1501,-82.5499,68.52,clear sky,43,0,4.21,US
194,Okha,53.5739,142.9478,31.28,scattered clouds,74,49,8.79,RU
195,Hervey Bay,-25.2986,152.8535,70.09,clear sky,68,1,6.4,AU
196,Slave Lake,55.2834,-114.769,42.78,overcast clouds,36,100,23.02,CA
197,Quatre Cocos,-20.2078,57.7625,73.51,few clouds,79,22,9.71,MU
198,Cidreira,-30.1811,-50.2056,69.26,overcast clouds,90,100,14.81,BR
199,Alma,48.5501,-71.6491,58.1,overcast clouds,47,99,11.5,CA
200,Bonfim,3.0833,-59.95,88.45,overcast clouds,56,100,2.46,BR
201,Peleduy,59.6289,112.7406,29.66,overcast clouds,83,100,5.06,RU
202,Samarai,-10.6167,150.6667,81.19,overcast clouds,75,88,10.85,PG
203,Mont-Joli,48.5839,-68.1921,47.7,broken clouds,57,75,11.5,CA
204,Emilio Carranza,19.9711,-96.6114,74.98,scattered clouds,68,40,14.74,MX
205,Salalah,17.0151,54.0924,74.8,clear sky,70,7,2.13,OM
206,Kapit,2.0167,112.9333,72.88,overcast clouds,99,100,1.07,MY
207,Wamba,8.9333,8.6,74.52,broken clouds,65,83,3.36,NG
208,Husavik,66.0449,-17.3389,31.82,broken clouds,74,70,10.65,IS
